partition,group_variable,model,eligible_groups,equal_opportunity_difference,eod_bootstrap_ci_low,eod_bootstrap_ci_high,valid_bootstrap_samples,highest_recall_group,lowest_recall_group,operational_review_trigger,verdict,threshold_note
held_out_test,Q13_Faculty,B-TabPFN K=1,3,0.3888888889,0.0972222222,0.7638888889,2000,College of Health Sciences,College of Humanities and Social Sciences,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
held_out_test,Q13_Faculty,Standard TabPFN v2,3,0.325,0.075,0.775,2000,College of Science,College of Humanities and Social Sciences,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
held_out_test,Q14_Year,B-TabPFN K=1,4,0.4444444444,0.2222222222,0.8888888889,2000,4,1,0.2,review_trigger_exceeded,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
held_out_test,Q14_Year,Standard TabPFN v2,4,0.4305555556,0.2083333333,0.875,2000,2,1,0.2,review_trigger_exceeded,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
held_out_test,Q15_Gender,B-TabPFN K=1,2,0.1833333333,0.0,0.4666666667,2000,Male,Female,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
held_out_test,Q15_Gender,Standard TabPFN v2,2,0.0166666667,0.0,0.4,2000,Female,Male,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q13_Faculty,B-TabPFN nested K,4,0.3666666667,0.1555555556,0.6523809524,2000,College of Engineering,College of Health Sciences,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q13_Faculty,Standard TabPFN v2,4,0.4476190476,0.1761904762,0.7333333333,2000,College of Engineering,College of Health Sciences,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q14_Year,B-TabPFN nested K,4,0.1533575318,0.0693779904,0.4180099544,2000,3,4,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q14_Year,Standard TabPFN v2,4,0.2503192848,0.1237497479,0.5363984674,2000,3,1,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q15_Gender,B-TabPFN nested K,3,0.4772727273,0.3409090909,0.6136363636,2000,Prefer not to say,Female,0.2,review_trigger_exceeded,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
nested_development_oof,Q15_Gender,Standard TabPFN v2,3,0.4818181818,0.1909090909,0.7727272727,2000,Prefer not to say,Female,0.2,inconclusive_relative_to_review_trigger,"0.20 is an operational review trigger, not a universal legal or mathematical definition of fairness"
