outer_fold,model,candidate_id,parameters_json,inner_fold,f2,inner_train_n,inner_validation_n
1,Logistic Regression,1,"{""C"": 0.01}",1,0.6779661016949152,241,61
1,Logistic Regression,1,"{""C"": 0.01}",2,0.603448275862069,241,61
1,Logistic Regression,1,"{""C"": 0.01}",3,0.6363636363636364,242,60
1,Logistic Regression,1,"{""C"": 0.01}",4,0.6837606837606838,242,60
1,Logistic Regression,1,"{""C"": 0.01}",5,0.625,242,60
1,Logistic Regression,2,"{""C"": 0.1}",1,0.6779661016949152,241,61
1,Logistic Regression,2,"{""C"": 0.1}",2,0.635593220338983,241,61
1,Logistic Regression,2,"{""C"": 0.1}",3,0.6306306306306306,242,60
1,Logistic Regression,2,"{""C"": 0.1}",4,0.6086956521739131,242,60
1,Logistic Regression,2,"{""C"": 0.1}",5,0.625,242,60
1,Logistic Regression,3,"{""C"": 1.0}",1,0.603448275862069,241,61
1,Logistic Regression,3,"{""C"": 1.0}",2,0.6611570247933884,241,61
1,Logistic Regression,3,"{""C"": 1.0}",3,0.6306306306306306,242,60
1,Logistic Regression,3,"{""C"": 1.0}",4,0.5701754385964912,242,60
1,Logistic Regression,3,"{""C"": 1.0}",5,0.6198347107438017,242,60
1,Logistic Regression,4,"{""C"": 10.0}",1,0.6086956521739131,241,61
1,Logistic Regression,4,"{""C"": 10.0}",2,0.6611570247933884,241,61
1,Logistic Regression,4,"{""C"": 10.0}",3,0.6637168141592921,242,60
1,Logistic Regression,4,"{""C"": 10.0}",4,0.5701754385964912,242,60
1,Logistic Regression,4,"{""C"": 10.0}",5,0.6557377049180327,242,60
1,Logistic Regression,5,"{""C"": 100.0}",1,0.603448275862069,241,61
1,Logistic Regression,5,"{""C"": 100.0}",2,0.6611570247933884,241,61
1,Logistic Regression,5,"{""C"": 100.0}",3,0.6637168141592921,242,60
1,Logistic Regression,5,"{""C"": 100.0}",4,0.5701754385964912,242,60
1,Logistic Regression,5,"{""C"": 100.0}",5,0.6557377049180327,242,60
1,Random Forest,1,"{""max_depth"": null, ""min_samples_leaf"": 1}",1,0.5855855855855856,241,61
1,Random Forest,1,"{""max_depth"": null, ""min_samples_leaf"": 1}",2,0.45871559633027525,241,61
1,Random Forest,1,"{""max_depth"": null, ""min_samples_leaf"": 1}",3,0.4368932038834951,242,60
1,Random Forest,1,"{""max_depth"": null, ""min_samples_leaf"": 1}",4,0.5454545454545454,242,60
1,Random Forest,1,"{""max_depth"": null, ""min_samples_leaf"": 1}",5,0.44642857142857145,242,60
1,Random Forest,2,"{""max_depth"": null, ""min_samples_leaf"": 3}",1,0.6086956521739131,241,61
1,Random Forest,2,"{""max_depth"": null, ""min_samples_leaf"": 3}",2,0.603448275862069,241,61
1,Random Forest,2,"{""max_depth"": null, ""min_samples_leaf"": 3}",3,0.5555555555555556,242,60
1,Random Forest,2,"{""max_depth"": null, ""min_samples_leaf"": 3}",4,0.6410256410256411,242,60
1,Random Forest,2,"{""max_depth"": null, ""min_samples_leaf"": 3}",5,0.5932203389830508,242,60
1,Random Forest,3,"{""max_depth"": 5, ""min_samples_leaf"": 1}",1,0.5932203389830508,241,61
1,Random Forest,3,"{""max_depth"": 5, ""min_samples_leaf"": 1}",2,0.5652173913043478,241,61
1,Random Forest,3,"{""max_depth"": 5, ""min_samples_leaf"": 1}",3,0.5555555555555556,242,60
1,Random Forest,3,"{""max_depth"": 5, ""min_samples_leaf"": 1}",4,0.6722689075630253,242,60
1,Random Forest,3,"{""max_depth"": 5, ""min_samples_leaf"": 1}",5,0.5982905982905983,242,60
1,Random Forest,4,"{""max_depth"": 5, ""min_samples_leaf"": 3}",1,0.5982905982905983,241,61
1,Random Forest,4,"{""max_depth"": 5, ""min_samples_leaf"": 3}",2,0.603448275862069,241,61
1,Random Forest,4,"{""max_depth"": 5, ""min_samples_leaf"": 3}",3,0.5504587155963303,242,60
1,Random Forest,4,"{""max_depth"": 5, ""min_samples_leaf"": 3}",4,0.6837606837606838,242,60
1,Random Forest,4,"{""max_depth"": 5, ""min_samples_leaf"": 3}",5,0.5882352941176471,242,60
1,Random Forest,5,"{""max_depth"": 10, ""min_samples_leaf"": 2}",1,0.625,241,61
1,Random Forest,5,"{""max_depth"": 10, ""min_samples_leaf"": 2}",2,0.5652173913043478,241,61
1,Random Forest,5,"{""max_depth"": 10, ""min_samples_leaf"": 2}",3,0.514018691588785,242,60
1,Random Forest,5,"{""max_depth"": 10, ""min_samples_leaf"": 2}",4,0.635593220338983,242,60
1,Random Forest,5,"{""max_depth"": 10, ""min_samples_leaf"": 2}",5,0.5508474576271186,242,60
1,Gaussian Naive Bayes,1,"{""var_smoothing"": 1e-11}",1,0.7333333333333333,241,61
1,Gaussian Naive Bayes,1,"{""var_smoothing"": 1e-11}",2,0.7666666666666667,241,61
1,Gaussian Naive Bayes,1,"{""var_smoothing"": 1e-11}",3,0.7394366197183099,242,60
1,Gaussian Naive Bayes,1,"{""var_smoothing"": 1e-11}",4,0.7432432432432432,242,60
1,Gaussian Naive Bayes,1,"{""var_smoothing"": 1e-11}",5,0.7615894039735099,242,60
1,Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-10}",1,0.7333333333333333,241,61
1,Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-10}",2,0.7666666666666667,241,61
1,Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-10}",3,0.7394366197183099,242,60
1,Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-10}",4,0.7432432432432432,242,60
1,Gaussian Naive Bayes,2,"{""var_smoothing"": 1e-10}",5,0.7615894039735099,242,60
