claim_id,claim,decision,evidence,allowed_wording,prohibited_wording
C1,The analysis identifies concurrent self-reported withdrawal consideration,keep_bounded,target_definition.json; primary_outcome_summary.csv,concurrent screening or identification,future dropout prediction
C2,B-TabPFN changes positive-target coverage,keep_with_corrected_uncertainty,oof_summary.csv; effect_size_and_ci.csv,report nested OOF difference with corrected uncertainty and student counts,universal superiority
C3,Balanced context construction and repeated averaging are separable,report_full_grid,two_factor_ablation_summary.csv; k_ablation.csv; computational_cost.csv,state the observed contribution and cost of each component,claim K>1 helps when unsupported
C4,First-year performance is caused by sparse institutional records,delete,no institutional-record predictors exist,report the subgroup estimate as bounded or undiagnosed,sparse institutional records
C5,Scores have a calibration trade-off,keep_as_diagnosed_negative_result,calibration_by_partition.csv; recalibration_comparison.csv,risk-score language unless calibration evidence supports probability language,literal probability without support
C6,FSII describes aggregate attribution patterns across the explained held-out cases,keep_noncausal,fsii_main_effects_summary.csv; fsii_top_interactions_summary.csv; fsii_population_summary.csv; fsii_budget_convergence.csv,aggregate signed and absolute attribution with uncertainty,causal mechanism or mediation
C7,Structural barriers mediate withdrawal consideration,delete_causal_claim,theory_attribution_sensitivity.csv,descriptive attribution shift after distress-item removal,mediation established
C8,Fairness evidence is event-count bounded,keep_bounded,fairness_subgroups.csv; fairness_equal_opportunity.csv,"report EOD, uncertainty and sparse-group suppression",universal fairness
C9,UCI supports algorithmic robustness,keep_as_separate_benchmark,uci_protocol.json; uci_summary.csv,separately trained different-construct robustness benchmark,external Ghana validation or data fusion
C10,KNUST counselling capacity is resource constrained,soften_to_unmeasured_assumption,operational_tradeoff.csv,label 15/30/60-minute workload values as scenarios,claim measured capacity or caseload
C11,The achieved sample represents the KNUST undergraduate population,do_not_claim_representativeness,population_gender_comparison.csv; population_college_comparison.csv; population_comparison_unmatched_categories.csv,report descriptive percentage-point differences and limits to generalisability,"random sample, representative sample or institution-wide prevalence"
