feature,construct_domain,measured_indicator,exact_source_wording,response_coding,role,analytic_metric_or_use,interpretation_scope,count,mean,std,min,max
Q10_Financial_Difficulty,Structural and contextual barriers,financial constraint on participation,"Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)",ordinal 0-3; higher indicates greater difficulty,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,1.0855106888,1.0129184793,0.0,3.0
Q11_Internet_Access,Structural and contextual barriers,reliable academic internet access,"Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)",ordinal 0-3; higher indicates more reliable access,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,1.9216152019,0.9289180876,0.0,3.0
Q12_Outside_Responsibilities,Structural and contextual barriers,competing non-study responsibilities,"Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",ordinal 0-2; higher indicates greater burden,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,0.5866983373,0.7401504202,0.0,2.0
Q13_Faculty,Institutional and programme context,official KNUST college,Which faculty or college are you currently enrolled in at KNUST?,nominal; fold-local encoding after documented crosswalk,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,,,,,
Q14_Year,Institutional and programme context,undergraduate year of study,Q14   What year of study are you currently in?,ordinal 1-5 in the analytic cohort,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,2.513064133,1.2082830669,1.0,5.0
Q15_Gender,Demographic fairness stratifier,self-reported gender,What is your gender?,"nominal; evaluation only, excluded from predictors",fairness_only,"subgroup recall, Wilson interval and equal-opportunity difference",associational screening; no causal or diagnostic claim,,,,,
Q16_Belonging,Social and institutional integration,sense of belonging at KNUST,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?",ordinal 0-4; higher indicates stronger belonging,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,2.9881235154,0.9166977712,0.0,4.0
Q1_Academic_Performance,Academic engagement and integration,overall academic-performance category,Q1  How would you describe your academic performance overall this semester?,ordinal 0-4; higher indicates stronger performance,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,2.8076009501,0.8185580774,0.0,4.0
Q2_Attendance,Academic engagement and integration,class-attendance category,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,ordinal 0-3; higher indicates greater attendance,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,2.4988123515,0.7795746798,0.0,3.0
Q3_Assignments,Academic engagement and integration,on-time submission of the last five assignments,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","ordinal 0-3: none=0, 1-2=1, 3-4=2, all 5=3",predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,408.0,2.7156862745,0.5542323372,1.0,3.0
Q4_Repeating,Academic progression,course repetition,"Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","binary: no=0, yes=1",predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,0.0926365796,0.2902674194,0.0,1.0
Q5_Withdrawal_Response,Concurrent withdrawal consideration,primary self-reported outcome,"Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?",No=0; brief or serious consideration=1,target,binary outcome prevalence and classification metrics,associational screening; no causal or diagnostic claim,,,,,
Q6_PHQ2_Interest,Psychological distress,PHQ-2 anhedonia item,"Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?",ordinal 0-3; higher indicates more frequent symptoms,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,1.0285035629,1.0019718146,0.0,3.0
Q7_PHQ2_Depressed,Psychological distress,PHQ-2 depressed-mood item,"Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?",ordinal 0-3; higher indicates more frequent symptoms,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,0.9168646081,1.0024853179,0.0,3.0
Q8_GAD2_Nervous,Psychological distress,GAD-2 nervousness item,"Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?",ordinal 0-3; higher indicates more frequent symptoms,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,0.8883610451,0.9853123376,0.0,3.0
Q9_GAD2_Worry,Psychological distress,GAD-2 uncontrollable-worry item,"Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?",ordinal 0-3; higher indicates more frequent symptoms,predictor,model input and descriptive/attribution summaries,associational screening; no causal or diagnostic claim,421.0,0.8764845606,1.0018758562,0.0,3.0
