decision_id,decision,analysis_role,candidate_set_or_fixed_value,selection_data,selection_rule,selected_value,evidence_artifact,heldout_outcomes_used_for_predictive_selection,heldout_cases_used_for_explanation_budget_selection,status,protocol_hash
analytic_scope,Analytic population,primary,KNUST undergraduates,study scope and participant eligibility,exclude responses outside the undergraduate target population,421 undergraduate responses,participant_flow_summary.csv; sampling_disclosure.json,False,False,prespecified analytic scope,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
primary_outcome,Primary target definition,primary,any self-reported withdrawal consideration,prespecified survey response coding,binary indicator of any withdrawal consideration,any_withdrawal_consideration,target_definition.json; primary_outcome_summary.csv,False,False,prespecified,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
predictor_set,Primary predictor set,primary,14 prespecified predictors,study instrument and submitted method,retain every prespecified predictor in the primary model,"[""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry"", ""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q14_Year"", ""Q16_Belonging"", ""Q13_Faculty""]",instrument_inventory.csv; model_specifications.json,False,False,prespecified,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
primary_k,B-TabPFN ensemble size K,primary,"[1, 5, 10, 15, 20]",development cross-validation only,smallest K within one standard error of the best mean development F2,1,k_evidence_and_decision.csv; nested_k_inner_metrics.csv,False,False,development-selected,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
secondary_best_mean_k,Best-mean-F2 K sensitivity,secondary,"[1, 5, 10, 15, 20]",development cross-validation only,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",15,k_evidence_and_decision.csv,False,False,reported transparently; does not replace the one-standard-error production rule,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
primary_threshold,Primary B-TabPFN operating threshold,primary,0.50,original fixed analysis protocol,retain the prespecified fixed score threshold,0.5,analysis_config.json; heldout_test_model_comparison.csv,False,False,prespecified,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
standard_secondary_threshold,Matched Standard TabPFN threshold,secondary comparator,0.01 to 0.99 in 0.01 increments,development out-of-fold predictions only,"maximum development-OOF F2, then recall, then proximity to 0.50, then lower threshold",0.12,threshold_selection_evidence.csv; threshold_sensitivity_oof.csv,False,False,development-selected; primary threshold unchanged,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
btabpfn_secondary_threshold,B-TabPFN threshold sensitivity,secondary,0.01 to 0.99 in 0.01 increments,development out-of-fold predictions only,"maximum development-OOF F2, then recall, then proximity to 0.50, then lower threshold",0.26,threshold_selection_evidence.csv; threshold_sensitivity_oof.csv,False,False,does not replace primary 0.50 threshold,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
feature_selection_sensitivity,Permutation-share feature rule,secondary,"[0.025, 0.05, 0.1]",inner development folds only,retain positive importance share >= 0.05,"[""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",feature_selection_rule_sensitivity.csv; nested_feature_selection_evidence.csv,False,False,primary model retains all predictors,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
calibration,Isotonic recalibration diagnostic,secondary,isotonic fitted to fixed-K development OOF scores; secondary held-out diagnostic,fixed-K development OOF scores; partitioned diagnostic is dependency-bounded,evaluate the prespecified method; do not select a method from held-out performance,diagnostic_only_overlapping_base_model_training_sets,recalibration_comparison.csv; calibrated_operating_threshold.json,False,False,not automatically adopted for deployment,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
fsii_budget,Production FSII approximation budget,explanation computation,"[512, 1024]","three observed-positive development cases spanning low, middle and high fixed-K OOF score regions",use 512 only if aggregate signed and absolute main-effect and interaction summaries pass all declared 512-versus-1024 criteria; otherwise 1024,1024,fsii_pilot_design.csv; fsii_budget_convergence.csv; fsii_budget_protocol.json,False,False,"affects approximation precision, not predictive model selection",29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
fairness_interpretation,Subgroup disparity interpretation,descriptive secondary,0.20 operational equal-opportunity review trigger,subgroup estimates with event-count rules and bootstrap uncertainty,compare uncertainty with the predeclared 0.20 review trigger; suppress sparse public cells,descriptive review signal,fairness_subgroups.csv; fairness_equal_opportunity.csv,False,False,no unsupported verdict threshold,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
workload_scenarios,Counsellor review-time scenarios,operational illustration,"15, 30 and 60 minutes per review",hypothetical scenarios; actual KNUST capacity not measured,report all declared scenarios without selecting a preferred one,all three scenarios retained,operational_tradeoff.csv,False,False,not an empirical capacity claim,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
baseline_logistic_regression,Logistic Regression hyperparameters,reference model,five declared configurations,development inner cross-validation only,"maximum mean inner-CV F2, then declared candidate order","{""C"": 10.0}",baseline_final_tuning_full_grid.csv; baseline_final_selected_configurations.csv,False,False,development-selected before held-out evaluation,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
baseline_random_forest,Random Forest hyperparameters,reference model,five declared configurations,development inner cross-validation only,"maximum mean inner-CV F2, then declared candidate order","{""max_depth"": 5, ""min_samples_leaf"": 1}",baseline_final_tuning_full_grid.csv; baseline_final_selected_configurations.csv,False,False,development-selected before held-out evaluation,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
baseline_gaussian_naive_bayes,Gaussian Naive Bayes hyperparameters,reference model,five declared configurations,development inner cross-validation only,"maximum mean inner-CV F2, then declared candidate order","{""var_smoothing"": 1e-07}",baseline_final_tuning_full_grid.csv; baseline_final_selected_configurations.csv,False,False,development-selected before held-out evaluation,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
baseline_knn,KNN hyperparameters,reference model,five declared configurations,development inner cross-validation only,"maximum mean inner-CV F2, then declared candidate order","{""n_neighbors"": 3, ""weights"": ""uniform""}",baseline_final_tuning_full_grid.csv; baseline_final_selected_configurations.csv,False,False,development-selected before held-out evaluation,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
baseline_xgboost,XGBoost hyperparameters,reference model,five declared configurations,development inner cross-validation only,"maximum mean inner-CV F2, then declared candidate order","{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",baseline_final_tuning_full_grid.csv; baseline_final_selected_configurations.csv,False,False,development-selected before held-out evaluation,29313c3ae78b30ae423f74d7730651224e950488d1aa84799770ad23a6b841ff
