figure_id,stem,tier,title,manuscript_role,source_artifacts,formats
Figure 1,fig01_study_framework,main,Study framework for concurrent student-support screening,Study design,study_framework_spec.json; analysis_config.json; target_definition.json,figures/fig01_study_framework.png; figures/fig01_study_framework.svg; figures/fig01_study_framework.pdf
Figure 2,fig02_model_workflow,main,B-TabPFN development and evaluation workflow,Model development,model_workflow_spec.json; model_specifications.json; analysis_config.json,figures/fig02_model_workflow.png; figures/fig02_model_workflow.svg; figures/fig02_model_workflow.pdf
Figure 3,fig03_participant_flow,supplement,Participant flow,Methods/sample,participant_flow_summary.csv,figures/fig03_participant_flow.png; figures/fig03_participant_flow.pdf
Figure 4,fig04_sample_demographics,supplement,Sample demographic composition,Methods/sample,sample_demographics_extended.csv,figures/fig04_sample_demographics.png; figures/fig04_sample_demographics.pdf
Figure 5,fig05_target_prevalence_groups,supplement,Target prevalence by demographic group,Descriptive results,target_prevalence_by_group.csv,figures/fig05_target_prevalence_groups.png; figures/fig05_target_prevalence_groups.pdf
Figure 6,fig06_missingness,supplement,Predictor missingness,Methods/data quality,missingness_by_feature.csv,figures/fig06_missingness.png; figures/fig06_missingness.pdf
Figure 7,fig07_predictor_correlation,internal,Predictor correlation,Descriptive results,predictor_spearman_correlation.csv,figures/fig07_predictor_correlation.png
Figure 8,fig08_permutation_diagnostic,internal,Development-only permutation diagnostic,Methods/provenance,permutation_importance_foldwise.csv; feature_retention_decision.csv,figures/fig08_permutation_diagnostic.png
Figure 9,fig09_development_model_comparison,main,Development model comparison,Primary development results,development_model_summary_mean_sd.csv,figures/fig09_development_model_comparison.png; figures/fig09_development_model_comparison.svg; figures/fig09_development_model_comparison.pdf
Figure 10,fig10_oof_roc_pr,supplement,Development out-of-fold ROC and precision–recall comparison,Primary development results,roc_pr_curve_points.csv,figures/fig10_oof_roc_pr.png; figures/fig10_oof_roc_pr.pdf
Figure 11,fig11_fold_recall_distribution,supplement,Outer-fold recall distribution,Effect/stability evidence,development_fold_metrics.csv,figures/fig11_fold_recall_distribution.png; figures/fig11_fold_recall_distribution.pdf
Figure 12a,fig12a_k_predictive_performance,supplement,Development performance across balanced-context ensemble sizes,Context-size sensitivity,k_ablation.csv,figures/fig12a_k_predictive_performance.png; figures/fig12a_k_predictive_performance.pdf
Figure 12b,fig12b_k_calibration,supplement,Development calibration across balanced-context ensemble sizes,Context-size calibration sensitivity,k_ablation.csv,figures/fig12b_k_calibration.png; figures/fig12b_k_calibration.pdf
Figure 13,fig13_threshold_sensitivity,main,Development out-of-fold threshold sensitivity,Operating-point evidence,threshold_sensitivity_oof.csv; selected_thresholds.json,figures/fig13_threshold_sensitivity.png; figures/fig13_threshold_sensitivity.svg; figures/fig13_threshold_sensitivity.pdf
